141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/gk_white_trans_logo.png HTTP/1.1" 200 15654 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/vis_mis_val/vision.jpg HTTP/1.1" 200 40360 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/gk_white_blue_logo.png HTTP/1.1" 200 72917 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/landing/education/2.jpg HTTP/1.1" 200 90605 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/vis_mis_val/mission.jpg HTTP/1.1" 200 73113 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/vis_mis_val/values_man_arrow.jpg HTTP/1.1" 200 66692 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/webex_logo_dark.png HTTP/1.1" 200 5976 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/coding_game_dark.png HTTP/1.1" 200 12487 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/symotec_logo_dark.png HTTP/1.1" 200 11760 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/marco_logo_dark.png HTTP/1.1" 200 19319 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/marinetrans_logo_dark.png HTTP/1.1" 200 9666 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/prolife_logo_dark.png HTTP/1.1" 200 15045 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/john.png HTTP/1.1" 200 31504 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
